bilked	0 0 0.0963855 0.180723 0.0542169 0.150602 0 0.0361446 0.126506 0.0662651 0.120482 0.168675 0 0 0
bills	0 0 0.216867 0.608434 0.0060241 0.313253 0 0.0783133 0.156627 0.0301205 0.240964 0.289157 0.0240964 0 0.0361446
birds	0 0 0.0783133 0.186747 0.0542169 0.120482 0 0.0662651 0.174699 0.0783133 0.0722892 0.168675 0 0 0
blows	0 0 0.0783133 0.174699 0.114458 0.138554 0 0.0421687 0.0903614 0.0843373 0.13253 0.144578 0 0 0
bonds	0 0 0.0481928 1.14458 0 0.228916 0.0060241 0.216867 0.0963855 0.180723 0.0301205 0.0481928 0 0 0
bosses	0 0 0.0783133 0.192771 0.0722892 0.108434 0 0.108434 0.0542169 0.0481928 0.0903614 0.240964 0.0060241 0 0
box	0 0.0060241 0.144578 0.0542169 0.0361446 0.289157 0 0.114458 9.20482 0.0240964 0.0662651 0.0060241 0.0240964 0.0240964 0.0060241
built	0.0361446 0.0783133 0.0120482 0.0120482 0.0240964 0.259036 0 0.0481928 0.0180723 4.41566 0.0542169 0.0361446 0.0060241 0 0
buker	0 0 0.108434 0.210843 0.0903614 0.120482 0 0.060241 0.0903614 0.0361446 0.0843373 0.198795 0 0 0
burdened	0 0 0.0783133 0.156627 0.0903614 0.10241 0 0.0481928 0.138554 0.0542169 0.0722892 0.259036 0 0 0
business	0.0060241 0.0060241 0.0301205 0.0120482 0.0240964 0.0060241 0.0481928 0.0120482 0.0783133 0.0060241 5.74096 0.0060241 0 0 0.0240964
businesses	0.0481928 0 1.83735 0.060241 0.0180723 0.060241 0 0.0060241 0.0120482 0.0120482 0.144578 0.759036 0.0120482 0 0.0301205
buy	0.0060241 0.0180723 0.0361446 0.710843 0.0060241 0.0120482 0.0120482 0.0361446 0.0120482 0.487952 0.307229 1.91566 0.0060241 0 0.433735
cartwheels	0 0 0.0542169 0.156627 0.156627 0.108434 0 0.0542169 0.150602 0.0421687 0.144578 0.13253 0 0 0
cashed	0 0 0.0903614 0.174699 0.0542169 0.108434 0 0.0301205 0.150602 0.0903614 0.0843373 0.210843 0.0060241 0 0
cavejune	0 0 0.0783133 0.114458 0.0903614 0.138554 0 0.0843373 0.0843373 0.0722892 0.150602 0.186747 0 0 0
cents	0 0 0.0542169 0.168675 0.0662651 0.126506 0 0.0542169 0.144578 0.0783133 0.0963855 0.210843 0 0 0
challenges	0 0.0060241 0.0301205 0.0481928 0.13253 0.0843373 0.0361446 0.36747 0.0361446 0.295181 0.0361446 0.771084 0.156627 0 0
charlie	0 0 0.0542169 0.156627 0.0662651 0.120482 0 0.0361446 0.126506 0.0662651 0.156627 0.216867 0 0 0
choice	0 0.0060241 0.162651 0.0120482 0.0240964 0.963855 0 7.56024 0.0662651 0 0.138554 0 0.0240964 0.0060241 0.0361446
chris	0 0 0.0180723 0.204819 0.963855 0.150602 0 0 0.319277 0.0180723 0.313253 0.0120482 0 0 0
clean	0 0 0.0060241 0 0 0.240964 0 0.0060241 1.23494 0.150602 0.0060241 5.33735 0 0 0.0180723
clewiston	0 0 0.0301205 0.933735 0.0060241 0.0060241 0 0.0120482 0.0180723 0.0120482 0.0120482 0.927711 0 0.0421687 0
clicking	0 0 0.0120482 0 0 0 0.0060241 0 5.96988 0 0.0060241 0.0060241 0 0 0
